code,name,date,open,high,low,close,volume,amount,turnover,raw_open,raw_close,raw_prev_date,raw_prev_close,scale
000503,国新健康,2026-06-04,67.9710390137066,69.62412579944768,67.67931781622289,67.9710390137066,9992775.0,70408997.0,0.010204670159252565,6.99,6.99,2026-06-03,7.03,9.724039916123978
000505,京粮控股,2026-06-04,19.64183308677479,19.944532569276454,19.372766880106642,19.540933259274233,7023800.0,40884359.0,0.01110692347650734,5.84,5.81,2026-06-03,5.89,3.3633275833518477
000506,招金黄金,2026-06-04,42.68010593570339,42.83028224089586,41.29848392793255,42.04936545389496,25939910.0,362035055.0,0.02793121090862589,14.21,14.0,2026-06-03,14.18,3.00352610384964
000507,珠海港,2026-06-04,30.038675838246913,30.324214581956483,29.581813848311597,29.981568089505,14433236.0,75711552.0,0.015995084769654073,5.26,5.25,2026-06-03,5.29,5.710774874191428
000509,华塑控股,2026-06-04,52.162577428213176,57.104295289833374,51.61349766581093,52.60184123813497,155106250.0,759813464.0,0.14453700897016258,4.75,4.79,2026-06-03,4.89,10.98159524804488
000510,新金路,2026-06-04,214.43719117261077,224.21016331932222,209.3234266772385,218.52820276890856,50357850.0,958393378.0,0.08301514557633889,18.87,19.23,2026-06-03,19.18,11.363921100827278
000513,丽珠集团,2026-06-04,313.9100036621094,316.3744590392407,309.8025780335571,311.6509195664056,2839371.0,86273600.0,0.004997662599919906,30.57,30.35,2026-06-03,30.57,10.268564071380744
000514,渝 开 发,2026-06-04,23.434676526643557,23.96129847106251,22.750067998898913,22.960716776666494,11951249.0,52828721.0,0.014164091318311717,4.45,4.36,2026-06-03,4.47,5.266219444189563
000516,国际医学,2026-06-04,184.99742486994703,184.99742486994703,180.571649155355,181.0142267268142,16333900.0,67160037.0,0.007444013076067353,4.18,4.09,2026-06-03,4.19,44.257757145920344
000517,荣安地产,2026-06-04,28.170000076293945,31.03219259741472,28.01935836465601,29.073850346121556,69075707.0,136047733.0,0.02771913464555579,1.87,1.93,2026-06-03,1.87,15.064171163793553
000518,四环生物,2026-06-04,33.0,33.0,30.56488549618321,30.56488549618321,177380333.0,660286219.0,0.17229158173537942,3.93,3.64,2026-06-03,3.93,8.396946564885496
000519,中兵红箭,2026-06-04,162.01218119243015,164.55902582577974,160.04043050854665,161.84786863543985,67147813.0,1325025934.0,0.04821900822007696,19.72,19.7,2026-06-03,20.22,8.215627849514714
000520,凤凰航运,2026-06-04,27.280000686645508,30.00800075531006,27.20821121115434,30.00800075531006,65999799.0,269719330.0,0.06521181496836148,3.8,4.18,2026-06-03,3.8,7.17894754911724
000521,长虹美菱,2026-06-04,36.58544848725787,37.43627287068247,36.38910439877527,37.305376811694074,11241107.0,63801132.0,0.012843606037097777,5.59,5.7,2026-06-03,5.58,6.544802949420013
000523,红棉股份,2026-06-04,21.143300974144125,21.343395305129718,20.342923650201758,20.40962176053029,26199920.0,81211026.0,0.01977113477258991,3.17,3.06,2026-06-03,3.18,6.669811032853036
000524,岭南控股,2026-06-04,45.82058626548957,46.06961119084549,44.7746815789947,45.222926444635355,7246035.0,65843220.0,0.010815504859730938,9.2,9.08,2026-06-03,9.23,4.980498507118432
000525,红太阳,2026-06-04,41.08569082954438,41.17255275518824,39.08786653973567,39.34845231666724,29697934.0,135587292.0,0.02671254035622553,4.73,4.53,2026-06-03,4.78,8.686192564385705
000526,学大教育,2026-06-04,68.4058640534075,68.4058640534075,66.25582425115084,66.79951247700885,2186600.0,59240076.0,0.018304117717459278,27.68,27.03,2026-06-03,27.71,2.4713101175363983
000528,柳    工,2026-06-04,132.80118081696006,134.04086511863528,130.47677275131898,131.251575439866,27412199.0,233828468.0,0.013476115433468596,8.57,8.47,2026-06-03,8.87,15.496053770940495
000529,广弘控股,2026-06-04,18.260655596142723,18.479346082324074,17.85972303814358,18.005516695597816,3756893.0,18625649.0,0.0065923775973244485,5.01,4.94,2026-06-03,5.04,3.644841436355833
000530,冰山冷热,2026-06-04,67.52392525008962,68.39379868326307,66.76278599606283,67.85012778752966,36913970.0,229065136.0,0.06151131681924046,6.21,6.24,2026-06-03,6.32,10.873417914668215
000531,穗恒运Ａ,2026-06-04,128.56203402601523,131.74260518030468,127.55764313518699,128.72943250781995,31093201.0,240282440.0,0.034177911745795875,7.68,7.69,2026-06-03,7.88,16.739848180470734
000532,华金资本,2026-06-04,53.561543690888506,56.46166111577587,53.380286351833035,55.96320343337335,11653025.0,142689148.0,0.03391946911816375,11.82,12.35,2026-06-03,11.93,4.531433476386506
000533,顺钠股份,2026-06-04,26.34844241327844,26.709999084472656,25.670523654789285,26.122469493782056,33972785.0,391770001.0,0.04960237400248561,11.66,11.56,2026-06-03,11.82,2.2597291949638456
000534,万泽股份,2026-06-04,131.89396765445457,143.68936313574724,129.19174978055844,141.75920751153572,31504062.0,1018723254.0,0.06289358961603485,30.75,33.05,2026-06-03,30.84,4.289234720470067
000536,华映科技,2026-06-04,13.576533559163412,15.154346918741862,13.429760223388671,15.154346918741862,109997035.0,449310413.0,0.03980953676303455,3.7,4.13,2026-06-03,3.75,3.6693333943684894
000537,绿发电力,2026-06-04,78.84267631103074,81.88065099457503,78.40867992766727,79.05967450271247,68676122.0,762285893.0,0.033407366853889515,10.9,10.93,2026-06-03,11.06,7.2332730560578655
000538,云南白药,2026-06-04,1592.5816671501461,1602.9546802478064,1570.8631709769202,1575.4013642071463,7224753.0,352907957.0,0.004075027929560601,49.13,48.6,2026-06-03,49.15,32.4156659301882
000539,粤电力Ａ,2026-06-04,170.6148936170213,177.24255319148935,164.74468085106383,173.64468085106384,326105522.0,2947280043.0,0.1276149306892099,9.01,9.17,2026-06-03,9.4,18.93617021276596
000541,佛山照明,2026-06-04,164.68190672857386,166.9874534227739,163.03508766128812,164.68190672857386,8708430.0,43573364.0,0.007128899721021486,5.0,5.0,2026-06-03,5.03,32.93638134571477
000543,皖能电力,2026-06-04,58.71829431418818,60.26351258561419,58.71829431418818,59.33638162275858,71661413.0,690135225.0,0.031612586440483564,9.5,9.6,2026-06-03,9.62,6.180873085704019
000544,中原环保,2026-06-04,33.73155431332795,33.94211332901664,32.636647431746766,32.80509464429772,4535300.0,35699528.0,0.004653095494836684,8.01,7.79,2026-06-03,8.05,4.211180313773776
000545,金浦钛业,2026-06-04,12.310321133778277,12.40999984741211,11.911606279242948,12.01128499287678,30123440.0,72842003.0,0.030569662427770577,2.47,2.41,2026-06-03,2.49,4.98393568169161
000546,金圆股份,2026-06-04,11.0,11.0,10.610800744878956,10.713221601489758,23192900.0,121624511.0,0.03328940246213691,5.37,5.23,2026-06-03,5.37,2.0484171322160147
000547,航天发展,2026-06-04,236.37037764707807,239.68785663159846,233.64530562407916,235.77797068555657,54124979.0,1079068093.0,0.03405969519520471,19.95,19.9,2026-06-03,20.15,11.848139230429979
000548,湖南投资,2026-06-04,18.163199772081878,18.31679977015445,17.7407997773823,17.894399775454872,5747946.0,26920797.0,0.01151395022622791,4.73,4.66,2026-06-03,4.75,3.83999995181435
